"Year","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Province (NUTS 2 unit)","Salzburg <AT32>",,,,,,,,,,,,,,"Styria <AT22>",,,,,,,,,,,,,,"Tyrol <AT33>",,,,,,,,,,,,,,"Vorarlberg <AT34>",,,,,,,,,,,,,,
,"Useful energy category","Space and water heating","Space and water heating - Annotations","Process heat <200 �C","Process heat <200 �C - Annotations","Process heat >200 �C","Process heat >200 �C - Annotations","Stationary engines","Stationary engines - Annotations","Traction","Traction - Annotations","Lighting and computing","Lighting and computing - Annotations","Electrochemical purposes","Electrochemical purposes - Annotations","Space and water heating","Space and water heating - Annotations","Process heat <200 �C","Process heat <200 �C - Annotations","Process heat >200 �C","Process heat >200 �C - Annotations","Stationary engines","Stationary engines - Annotations","Traction","Traction - Annotations","Lighting and computing","Lighting and computing - Annotations","Electrochemical purposes","Electrochemical purposes - Annotations","Space and water heating","Space and water heating - Annotations","Process heat <200 �C","Process heat <200 �C - Annotations","Process heat >200 �C","Process heat >200 �C - Annotations","Stationary engines","Stationary engines - Annotations","Traction","Traction - Annotations","Lighting and computing","Lighting and computing - Annotations","Electrochemical purposes","Electrochemical purposes - Annotations","Space and water heating","Space and water heating - Annotations","Process heat <200 �C","Process heat <200 �C - Annotations","Process heat >200 �C","Process heat >200 �C - Annotations","Stationary engines","Stationary engines - Annotations","Traction","Traction - Annotations","Lighting and computing","Lighting and computing - Annotations","Electrochemical purposes","Electrochemical purposes - Annotations",
"Sector","Fuels aggregated",
"Iron and steel","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,0.0000004,,-,,-,,-,,-,,-,,-,,0.0000004,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,2865.913962,,-,,-,,-,,-,,-,,-,,193.1456891,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,-,,-,,6.9313227,,-,,-,,-,,-,,-,,-,,0.0096451,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,0.3512767,,-,,-,,0.0175949,,-,,-,,-,,0.0001012,,-,,-,,0.0000051,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,1.3161811,,-,,-,,-,,-,,-,,-,,0.0109118,,-,,-,,-,,-,,-,,-,,0.0101603,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,0.0000414,,-,,-,,-,,-,,-,,-,,0.0000389,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,1.7796072,,-,,2.9554959,,-,,-,,-,,-,,0.0001039,,-,,0.0001726,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,376.4005699,,612.5734766,,6391.429285,,-,,-,,-,,-,,26.377057,,6.8623436,,34.6720973,,14.3518147,,-,,-,,-,,6.4573838,,1.6799746,,8.4880977,,3.5134767,,-,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,121.4078432,,3.643074,,1428.085019,,1849.495207,,-,,240.4428859,,-,,4.6811233,,0.0542546,,6.8789399,,31.2706726,,-,,3.0221862,,-,,2.0527647,,0.0237917,,3.0165504,,13.7128051,,-,,1.3252881,,-,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,193.5424991,,-,,-,,-,,-,,-,,-,,15.4743558,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,-,,3.0108124,,-,,-,,-,,-,,-,,-,,0.028222,,-,,-,,-,,-,,-,,-,,0.3374986,,-,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,-,,0.209459,,91.4763337,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
"Chemical and petrochemical","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",1.0463706,,13.0155432,,1.3271223,,-,,-,,-,,-,,13.7898774,,170.3206357,,-,,-,,-,,-,,-,,9.369116,,1.6057121,,-,,-,,-,,-,,-,,3.0002841,,0.5141993,,-,,-,,-,,-,,-,,
,"Gas oil for heating purposes",0.8153453,,0.1178813,,0.4263372,,-,,-,,-,,-,,0.4507542,,2.4185784,,0.0766939,,0.0453856,,-,,-,,-,,0.0873099,,0.4684721,,0.0148554,,0.0087911,,-,,-,,-,,0.1970397,,1.0572411,,0.0335254,,0.0198396,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,0.0323129,,-,,-,,-,,-,,0.0000011,,0.005803,,0.0058127,,-,,-,,-,,-,,0.0000001,,0.000326,,0.0003265,,-,,-,,-,,-,,0.0000004,,0.0023848,,0.0023888,,-,,-,,-,,-,,
,"Natural gas",9.6143461,,38.9913304,,8.7510507,,-,,-,,-,,-,,105.699836,,230.3053338,,523.3430905,,-,,-,,-,,-,,28.1826691,,969.2387485,,227.9120192,,-,,-,,-,,-,,0.1739714,,2.122864,,5.5836546,,0.0420259,,-,,-,,-,,
,"Electricity",30.2476486,,1.2786713,,0.4099752,,60.3823822,,-,,11.3487193,,-,,23.1191249,,17.1024038,,6.8105887,,891.7759549,,-,,24.971258,,-,,40.2607682,,29.7829574,,11.8602904,,1552.982005,,-,,43.4861629,,-,,0.3544786,,0.262226,,0.1044247,,13.6733319,,-,,0.3828768,,-,,
,"District heat",10.6621991,,-,,-,,-,,-,,-,,-,,4.186927,,41.4272297,,2.2617705,,-,,-,,-,,-,,32.1396162,,318.0029826,,17.3617635,,-,,-,,-,,-,,0.1216402,,1.2035598,,0.0657098,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,0.0845538,,-,,-,,-,,-,,-,,0.0170221,,0.3234204,,-,,-,,-,,-,,-,,0.0205177,,0.3898368,,-,,-,,-,,-,,-,,0.0005755,,0.0109342,,-,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.2311368,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
"Non-ferrous metals","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,0,,-,,-,,-,,-,,-,,-,,0.0000001,,-,,-,,-,,-,,-,,-,,0.0000705,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,7.9888772,,-,,-,,-,,-,,-,,-,,138.3524165,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,21.0136526,,-,,119.0773647,,-,,-,,-,,-,,5.1984936,,-,,-,,-,,-,,-,,-,,1.6701145,,-,,-,,-,,-,,-,,-,,
,"Gas oil for heating purposes",0.707507,,-,,0.0300097,,-,,-,,-,,-,,0.0000003,,-,,-,,-,,-,,-,,-,,12.1690388,,-,,-,,-,,-,,-,,-,,0.018396,,-,,-,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,0.0202928,,-,,-,,-,,-,,-,,-,,1.1148997,,-,,-,,-,,-,,-,,-,,1.060472,,-,,-,,-,,-,,-,,-,,0.319116,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,2.3409001,,-,,-,,-,,-,,-,,-,,0.0433548,,-,,-,,-,,-,,-,,-,,0.006728,,-,,-,,-,,-,,
,"LPG",0.0263993,,-,,1.4804725,,0.0101057,,-,,-,,-,,0.0579219,,-,,0.079986,,-,,-,,-,,-,,2.3554912,,-,,3.2527626,,-,,-,,-,,-,,0.0201095,,-,,0.0277698,,-,,-,,-,,-,,
,"Natural gas",5.2636278,,13.4142018,,166.3428302,,-,,-,,-,,-,,11.5349081,,-,,537.746432,,-,,-,,-,,-,,243.600552,,-,,656.2802965,,-,,-,,-,,-,,5.9001662,,15.0364011,,186.458915,,-,,-,,-,,-,,
,"Electricity",0.2301802,,0.1062579,,20.0769766,,1.9774657,,-,,0.3288965,,0.21558,,4.8734565,,4.2851571,,418.906573,,222.5915992,,-,,22.6620085,,-,,6.056516,,5.3254036,,520.5985497,,276.6269885,,-,,28.1633412,,-,,1.1371933,,0.999917,,97.7494653,,51.9404832,,-,,5.2880507,,-,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,0.0000069,,-,,-,,-,,-,,-,,-,,0.0003373,,-,,-,,-,,-,,-,,-,,0.3830223,,-,,-,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",0.2740702,,-,,-,,-,,-,,-,,-,,0.2901097,,-,,-,,-,,-,,-,,-,,38.9615098,,-,,-,,-,,-,,-,,-,,0.0774635,,-,,-,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,8.3905373,,2.0976343,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
