STATcube

"Useful energy analyses as of 2005 (Q)"
"Sector and Fuels aggregated by Consumption in TJ (traction as in energy balances), Year, Province (NUTS 2 unit) and Useful energy category"
"Counting: Consumption in TJ (traction as in energy balances)"

,"Values","Consumption in TJ (traction as in energy balances)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Year","2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Province (NUTS 2 unit)","Burgenland <AT11>",,,,,,,,,,,,,,"Carinthia <AT21>",,,,,,,,,,,,,,"Lower Austria <AT12>",,,,,,,,,,,,,,"Upper Austria <AT31>",,,,,,,,,,,,,,
,"Useful energy category","Space and water heating","Space and water heating - Annotations","Process heat <200 °C","Process heat <200 °C - Annotations","Process heat >200 °C","Process heat >200 °C - Annotations","Stationary engines","Stationary engines - Annotations","Traction","Traction - Annotations","Lighting and computing","Lighting and computing - Annotations","Electrochemical purposes","Electrochemical purposes - Annotations","Space and water heating","Space and water heating - Annotations","Process heat <200 °C","Process heat <200 °C - Annotations","Process heat >200 °C","Process heat >200 °C - Annotations","Stationary engines","Stationary engines - Annotations","Traction","Traction - Annotations","Lighting and computing","Lighting and computing - Annotations","Electrochemical purposes","Electrochemical purposes - Annotations","Space and water heating","Space and water heating - Annotations","Process heat <200 °C","Process heat <200 °C - Annotations","Process heat >200 °C","Process heat >200 °C - Annotations","Stationary engines","Stationary engines - Annotations","Traction","Traction - Annotations","Lighting and computing","Lighting and computing - Annotations","Electrochemical purposes","Electrochemical purposes - Annotations","Space and water heating","Space and water heating - Annotations","Process heat <200 °C","Process heat <200 °C - Annotations","Process heat >200 °C","Process heat >200 °C - Annotations","Stationary engines","Stationary engines - Annotations","Traction","Traction - Annotations","Lighting and computing","Lighting and computing - Annotations","Electrochemical purposes","Electrochemical purposes - Annotations",
"Sector","Fuels aggregated",
"Iron and steel","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.07237,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,0.3310433,,-,,-,,-,,-,,-,,-,,70.1451737,,-,,-,,-,,-,,-,,-,,3111.23962,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,0.0903671,,0.7852832,,-,,-,,-,,-,,-,,0.418239,,3.6344645,,-,,-,,-,,-,,-,,0.0000113,,0.0000986,,-,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,1.9050428,,0.7160948,,-,,-,,-,,-,,-,,8.8169602,,3.3142454,,-,,-,,-,,-,,-,,0.0002392,,0.0000899,,-,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,0.0066526,,-,,-,,-,,-,,-,,-,,0.6310119,,-,,-,,-,,-,,-,,-,,2.2010516,,-,,-,,-,,-,,-,,-,,310.3467295,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,-,,-,,3.1583444,,-,,-,,-,,-,,-,,-,,16.3501347,,-,,-,,-,,-,,-,,-,,8.5482735,,-,,-,,-,,-,,
,"Natural gas",0.0440658,,0.0192082,,1.0666195,,-,,-,,-,,-,,18.9303111,,8.2516741,,458.2106063,,-,,-,,-,,-,,14.5287824,,6.333059,,351.6710409,,-,,-,,-,,-,,310.6170698,,135.3971843,,7518.525998,,-,,-,,-,,-,,
,"Electricity",0.0594932,,0.0022035,,0.6984938,,1.3401385,,-,,0.1013587,,0.0017628,,7.5745448,,0.2805387,,88.9307665,,170.6236347,,-,,12.90478,,0.224431,,19.9691135,,0.7395968,,234.4521844,,449.8227716,,-,,34.0214526,,0.5916774,,96.8354116,,3.5864967,,1136.919462,,2181.307309,,-,,164.9788494,,2.8691974,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,0.1027916,,-,,0.6759325,,-,,-,,-,,-,,4.715575,,-,,31.0084777,,-,,-,,-,,-,,1.0164018,,-,,6.6836116,,-,,-,,-,,-,,
